date-001	2 days	2 days	difference 2024-02-28 2024-03-01	    2026-09-24 20:14:07.457 wall=1790302447457 [calc] date difference 2024-02-28 2024-03-01 -> 2 days	Wednesday, February 28, 2024 / Friday, March 1, 2024
date-002	1 day	1 day	difference 2023-02-28 2023-03-01	    2026-09-24 20:14:50.798 wall=1790302490798 [calc] date difference 2023-02-28 2023-03-01 -> 1 day	Tuesday, February 28, 2023 / Wednesday, March 1, 2023
date-003	2 months | 60 days	2 months | 60 days	difference 2024-01-15 2024-03-15	    2026-09-24 20:15:38.027 wall=1790302538027 [calc] date difference 2024-01-15 2024-03-15 -> 2 months | 60 days	Monday, January 15, 2024 / Friday, March 15, 2024
date-004	1 month | 29 days	1 month | 29 days	difference 2024-01-31 2024-02-29	    2026-09-24 20:16:24.696 wall=1790302584696 [calc] date difference 2024-01-31 2024-02-29 -> 1 month | 29 days	Wednesday, January 31, 2024 / Thursday, February 29, 2024
date-005	1 month, 2 days | 31 days	1 month, 2 days | 31 days	difference 2008-02-29 2008-03-31	    2026-09-24 20:17:12.970 wall=1790302632970 [calc] date difference 2008-02-29 2008-03-31 -> 1 month, 2 days | 31 days	Friday, February 29, 2008 / Monday, March 31, 2008
date-006	2 weeks | 14 days	2 weeks | 14 days	difference 2023-12-25 2024-01-08	    2026-09-24 20:18:04.315 wall=1790302684315 [calc] date difference 2023-12-25 2024-01-08 -> 2 weeks | 14 days	Monday, December 25, 2023 / Monday, January 8, 2024
date-007	1 day	1 day	difference 2023-12-31 2024-01-01	    2026-09-24 20:18:48.319 wall=1790302728319 [calc] date difference 2023-12-31 2024-01-01 -> 1 day	Sunday, December 31, 2023 / Monday, January 1, 2024
date-008	1 year | 366 days	1 year | 366 days	difference 2023-06-15 2024-06-15	    2026-09-24 20:19:35.331 wall=1790302775331 [calc] date difference 2023-06-15 2024-06-15 -> 1 year | 366 days	Thursday, June 15, 2023 / Saturday, June 15, 2024
date-009	1 year | 365 days	1 year | 365 days	difference 2020-02-29 2021-02-28	    2026-09-24 20:20:23.174 wall=1790302823174 [calc] date difference 2020-02-29 2021-02-28 -> 1 year | 365 days	Saturday, February 29, 2020 / Sunday, February 28, 2021
date-010	Same dates	Same dates	difference 2024-05-05 2024-05-05	    2026-09-24 20:21:12.657 wall=1790302872657 [calc] date difference 2024-05-05 2024-05-05 -> Same dates	Sunday, May 5, 2024 / Sunday, May 5, 2024
