date-001	2 days	2 days	difference 2024-02-28 2024-03-01	    2026-09-24 08:34:03.140 wall=1790260443140 [calc] date difference 2024-02-28 2024-03-01 -> 2 days	Wednesday, February 28, 2024 / Friday, March 1, 2024
date-002	1 day	1 day	difference 2023-02-28 2023-03-01	    2026-09-24 08:34:46.497 wall=1790260486497 [calc] date difference 2023-02-28 2023-03-01 -> 1 day	Tuesday, February 28, 2023 / Wednesday, March 1, 2023
date-003	2 months | 60 days	2 months | 60 days	difference 2024-01-15 2024-03-15	    2026-09-24 08:35:33.651 wall=1790260533651 [calc] date difference 2024-01-15 2024-03-15 -> 2 months | 60 days	Monday, January 15, 2024 / Friday, March 15, 2024
date-004	1 month | 29 days	1 month | 29 days	difference 2024-01-31 2024-02-29	    2026-09-24 08:36:20.425 wall=1790260580425 [calc] date difference 2024-01-31 2024-02-29 -> 1 month | 29 days	Wednesday, January 31, 2024 / Thursday, February 29, 2024
date-005	1 month, 2 days | 31 days	1 month, 2 days | 31 days	difference 2008-02-29 2008-03-31	    2026-09-24 08:37:08.746 wall=1790260628746 [calc] date difference 2008-02-29 2008-03-31 -> 1 month, 2 days | 31 days	Friday, February 29, 2008 / Monday, March 31, 2008
date-006	2 weeks | 14 days	2 weeks | 14 days	difference 2023-12-25 2024-01-08	    2026-09-24 08:38:00.079 wall=1790260680079 [calc] date difference 2023-12-25 2024-01-08 -> 2 weeks | 14 days	Monday, December 25, 2023 / Monday, January 8, 2024
date-007	1 day	1 day	difference 2023-12-31 2024-01-01	    2026-09-24 08:38:44.536 wall=1790260724536 [calc] date difference 2023-12-31 2024-01-01 -> 1 day	Sunday, December 31, 2023 / Monday, January 1, 2024
date-008	1 year | 366 days	1 year | 366 days	difference 2023-06-15 2024-06-15	    2026-09-24 08:39:31.741 wall=1790260771741 [calc] date difference 2023-06-15 2024-06-15 -> 1 year | 366 days	Thursday, June 15, 2023 / Saturday, June 15, 2024
date-009	1 year | 365 days	1 year | 365 days	difference 2020-02-29 2021-02-28	    2026-09-24 08:40:19.891 wall=1790260819891 [calc] date difference 2020-02-29 2021-02-28 -> 1 year | 365 days	Saturday, February 29, 2020 / Sunday, February 28, 2021
date-010	Same dates	Same dates	difference 2024-05-05 2024-05-05	    2026-09-24 08:41:09.941 wall=1790260869941 [calc] date difference 2024-05-05 2024-05-05 -> Same dates	Sunday, May 5, 2024 / Sunday, May 5, 2024
date-011	10 months | 305 days	10 months | 305 days	difference 2008-03-10 2007-05-10	    2026-09-24 08:41:58.457 wall=1790260918457 [calc] date difference 2008-03-10 2007-05-10 -> 10 months | 305 days	Monday, March 10, 2008 / Thursday, May 10, 2007
date-012	5 years, 8 months, 3 weeks, 1 day | 2092 days	5 years, 8 months, 3 weeks, 1 day | 2092 days	difference 2019-01-01 2024-09-23	    2026-09-24 08:42:48.323 wall=1790260968323 [calc] date difference 2019-01-01 2024-09-23 -> 5 years, 8 months, 3 weeks, 1 day | 2092 days	Tuesday, January 1, 2019 / Monday, September 23, 2024
